date,status,source,system,backend,driver,tool,model,quant,context_tokens,metric,tps,notes
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,Vulkan,AMDVLK,llama.cpp,gpt-oss-120b,,2048,tg32,50.05,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,Vulkan,AMDVLK,llama.cpp,gpt-oss-120b,,4096,tg32,46.11,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,Vulkan,AMDVLK,llama.cpp,gpt-oss-120b,,8192,tg32,43.15,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,Vulkan,AMDVLK,llama.cpp,gpt-oss-120b,,16384,tg32,38.46,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,Vulkan,AMDVLK,llama.cpp,gpt-oss-120b,,32768,tg32,31.54,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,HIP,llama.cpp,gpt-oss-120b,,2048,tg32,46.56,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,HIP,llama.cpp,gpt-oss-120b,,4096,tg32,38.25,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,HIP,llama.cpp,gpt-oss-120b,,8192,tg32,32.65,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,HIP,llama.cpp,gpt-oss-120b,,16384,tg32,25.50,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,HIP,llama.cpp,gpt-oss-120b,,32768,tg32,17.82,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,rocWMMA-tuned,llama.cpp,gpt-oss-120b,,2048,tg32,48.97,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,rocWMMA-tuned,llama.cpp,gpt-oss-120b,,4096,tg32,45.42,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,rocWMMA-tuned,llama.cpp,gpt-oss-120b,,8192,tg32,43.55,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,rocWMMA-tuned,llama.cpp,gpt-oss-120b,,16384,tg32,40.91,lhl reference data
2026-03-20,external-reference,lhl/strix-halo-testing,Framework Desktop 13,ROCm,rocWMMA-tuned,llama.cpp,gpt-oss-120b,,32768,tg32,36.43,lhl reference data
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,4096,pp,1081.93,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,8192,pp,1089.48,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,16384,pp,1024.58,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,32768,pp,908.61,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,65536,pp,740.25,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,0,tg128,57.84,same long-context benchmark run; separate n_prompt=0 generation row
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,4096,pp,741.68,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,8192,pp,735.50,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,16384,pp,700.49,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,32768,pp,644.82,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,65536,pp,543.89,local prompt-processing scaling; f16 KV; not full-cache decode
2026-05-03,measured-local,data/raw/2026-05-03/long-context,Beelink GTR9 Pro,Vulkan,RADV,llama-bench b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,0,tg128,55.58,same long-context benchmark run; separate n_prompt=0 generation row
